node_id,neighbors_with_weights
166,"[(245, 268.91402830267566), (1055, 435.82940540072474), (1056, 313.89573421646526)]"
167,"[(795, 207.2365986118614), (796, 287.2411890129632)]"
168,"[(1196, 318.64154882408104)]"
169,"[(750, 334.65755374798334), (751, 199.64111206943784)]"
170,"[(1315, 377.70353807996753), (1316, 326.48322606513966)]"
171,"[(1210, 393.0146456932461), (1211, 365.49489760235275)]"
172,"[(85, 478.94525329973635), (1095, 229.1051443567281), (1096, 272.81739562301203)]"
173,"[(174, 574.0850528168922), (1240, 374.7500999804744), (1241, 441.97486945441494)]"
174,"[(173, 574.0850528168922), (320, 291.43685051807785), (321, 268.9586377289716)]"
175,"[(176, 467.0186919060583), (1175, 277.6497914720406), (1176, 310.9179055018303)]"
176,"[(175, 467.0186919060583), (640, 146.98993314898024), (641, 227.83829934295827)]"
177,"[(595, 181.6619669591633), (596, 227.76204168654522)]"
178,"[(214, 281.1540309769162), (251, 230.62989938498245), (1075, 301.3857757179871), (1076, 221.00720870158918)]"
179,"[(965, 366.8765658494368), (966, 457.04190059102336)]"
180,"[(856, 225.71621810046094)]"
181,"[(1005, 240.50858767102437), (1006, 279.6443175610076)]"
182,"[(970, 408.4708215240324), (971, 224.55057706314702)]"
183,"[(455, 202.08746672807794), (456, 318.8021637777224)]"
184,"[(185, 90.13192628355253), (645, 242.37059128126506), (646, 288.72504066487227)]"
185,"[(184, 90.13192628355253), (400, 470.93275410614166), (401, 228.6103358397186)]"
186,"[(164, 314.5618762147265), (1425, 348.09941463826925), (1426, 269.4776130504684)]"
187,"[(1225, 257.87130165656487), (1226, 375.54566628375943)]"
188,"[(1115, 336.81365169924476), (1116, 271.34321181480414)]"
189,"[(190, 365.5933426171458), (820, 237.1681707285483), (821, 262.47982991633506)]"
190,"[(189, 365.5933426171458), (410, 322.6962374726186), (411, 315.631858326608)]"
191,"[(1220, 445.55081440240065), (1221, 301.7141627633363)]"
192,"[(665, 263.9119986599993), (666, 309.37233533136725)]"
193,"[(65, 201.0338386966095), (765, 251.0595912586915), (766, 194.67015853450533)]"
194,"[(1370, 246.8122375687778), (1371, 225.8173873821546)]"
195,"[(940, 190.10559750586393), (941, 348.504482889433)]"
196,"[(55, 371.24536083882225), (790, 361.99247599824537), (791, 186.48010945927805)]"
197,"[(895, 268.852062657086), (896, 505.94080295249165)]"
198,"[(199, 468.5258751259547), (910, 197.10426045242755), (911, 283.1838804283638)]"
199,"[(198, 468.5258751259547), (685, 194.29773602380467), (686, 192.3913817396852)]"
200,"[(470, 293.18318165827066), (471, 195.3434428185323)]"
201,"[(1310, 228.59531271381985), (1311, 418.9212586347602)]"
202,"[(395, 301.33333423244153), (396, 455.2769542080494)]"
203,"[(985, 230.05520820979928), (986, 360.15092098219293)]"
204,"[(1040, 159.2307314224684), (1041, 327.1687063968823)]"
205,"[(1255, 238.938016108354), (1256, 160.39526793716593)]"
206,"[(226, 410.64850224725694), (252, 374.54272879844194), (1415, 214.72037279337096), (1416, 293.12861009670024)]"
207,"[(1500, 259.91944989126455), (1501, 326.70873076635763)]"
208,"[(875, 467.8538400455525), (876, 885.3355766192592)]"
209,"[(695, 191.83642291592753), (696, 153.57417245852037)]"
210,"[(635, 137.46661196687108), (636, 146.65314699344611)]"
211,"[(1030, 187.23336548525947), (1031, 448.0088417214339)]"
212,"[(105, 541.2061706209073), (213, 541.9314359377862), (1160, 255.07414433230855), (1161, 306.93459001290216)]"
213,"[(105, 495.6327202797372), (212, 541.9314359377862), (1090, 319.3048428232338), (1091, 195.5894580575624)]"
214,"[(178, 281.1540309769162), (251, 487.1827406899472), (495, 163.80774647010256), (496, 199.45664969084766)]"
215,"[(147, 451.7274485937222), (165, 631.2104141226102), (500, 170.26618263519467), (501, 306.1324008334925)]"
216,"[(217, 621.7827634185526), (1105, 608.4004455174339), (1106, 378.71653636926914)]"
217,"[(216, 621.7827634185526), (370, 256.32865352871727), (371, 446.07980890637384)]"
218,"[(440, 256.9277548974015), (441, 363.64713299851024)]"
219,"[(520, 250.73936827119965), (521, 286.51950706133886)]"
220,"[(830, 197.86858139827527), (831, 322.54760053843773)]"
221,"[(132, 406.84822049577025), (222, 0.0), (620, 241.31155536513725), (621, 259.73579967317767)]"
222,"[(132, 406.84822049577025), (221, 0.0), (266, 288.6992182707787)]"
223,"[(1230, 436.17805766215247), (1231, 367.29307326773284)]"
224,"[(248, 710.3682329685904), (1410, 235.40852859000935), (1411, 203.20783665178448)]"
225,"[(785, 476.8155649443296), (786, 356.2810423094634)]"
226,"[(206, 410.64850224725694), (252, 294.67505393295176), (630, 198.60463317369687), (631, 154.45567253023498)]"
227,"[(1035, 438.58415905812046), (1036, 155.70094564709441)]"
228,"[(1481, 181.7922942029436)]"
229,"[(570, 386.62856675657116), (571, 270.642560346455)]"
230,"[(1065, 242.63642519595751), (1066, 217.59496143303167)]"
231,"[(745, 222.20584531514277), (746, 321.35203282641646)]"
232,"[(1330, 186.14607202241035), (1331, 157.52139259169343)]"
233,"[(1520, 352.7537299450523), (1521, 222.75634376319883)]"
234,"[(1340, 140.8026179886524), (1341, 486.11147353549507)]"
235,"[(32, 106.94896218636258), (1345, 422.742839132905), (1346, 243.138509077715)]"
236,"[(1245, 377.37289618329), (1246, 396.0326322155542)]"
