node_id,x,y,added
619,564775.8061439999,1487653.6967733335,2
620,564818.46024,1487695.0840666667,2
621,564881.99436,1487791.8501444445,2
622,564899.5784160001,1487852.4720311114,2
623,564915.280968,1487914.49366,2
624,564929.102016,1487977.915031111,2
625,564941.04156,1488042.7361444447,2
626,564957.7549200001,1488159.4307555559,2
627,564965.8513920001,1488208.9318088891,2
628,564975.389016,1488257.46016,2
629,564986.367792,1488305.015808889,2
630,564998.78772,1488351.5987555557,2
631,565001.2897200001,1488432.4991111113,2
632,564988.969872,1488466.484377778,2
633,564975.6892560001,1488499.1648,2
634,564961.4478719999,1488530.5403777778,2
635,564946.2457200001,1488560.6111111112,2
636,564927.1971600001,1488624.4595222224,2
637,564925.3656960002,1488659.565768889,2
638,564924.5884080001,1488694.6957399996,2
639,564924.865296,1488729.8494355555,2
640,564926.19636,1488765.0268555556,2
641,564943.72704,1488852.7776444445,2
642,564957.217824,1488906.3711644446,2
643,564969.053952,1488961.00856,2
644,564979.235424,1489016.689831111,2
645,564987.76224,1489073.4149777777,2
646,564996.5692800002,1489200.459377778,2
647,565000.5324480002,1489269.0704711112,2
648,565006.5239040001,1489337.0172799998,2
649,565014.5436480002,1489404.2998044444,2
650,565024.5916800001,1489470.9180444446,2
651,565046.0254800001,1489590.3409666666,2
652,565053.7416480001,1489644.3081466667,2
653,565059.8165040001,1489698.77354,2
654,565064.250048,1489753.7371466665,2
655,565067.04228,1489809.1989666666,2
656,565053.24792,1489969.3686222224,2
657,565041.4785120001,1490074.242528889,2
658,565032.8849760001,1490179.78072,2
659,565027.4673120001,1490285.9831955556,2
660,565025.22552,1490392.8499555555,2
661,565065.6244800001,1490537.6580333335,2
662,565103.7149280001,1490578.351386667,2
663,565140.430944,1490622.4610600001,2
664,565175.7725280001,1490669.9870533335,2
665,565209.7396800001,1490720.9293666668,2
666,565266.8686800001,1490845.3937333336,2
667,565293.299808,1490912.723706667,2
668,565321.625784,1490977.27792,2
669,565351.8466080001,1491039.0563733333,2
670,565383.9622800001,1491098.0590666668,2
671,565416.15468,1491235.3049777776,2
672,565411.961328,1491315.588497778,2
673,565405.392744,1491395.1365599998,2
674,565396.448928,1491473.9491644443,2
675,565385.12988,1491552.026311111,2
676,564562.7031312002,1488034.419243889,2
677,564542.33524992,1488034.4824102225,2
678,564522.05183616,1488032.6262690001,2
679,564501.85288992,1488028.8508202224,2
680,564481.7384112001,1488023.156063889,2
681,564417.1728000001,1487991.402377778,2
682,564372.23688,1487971.5806044447,2
683,564326.90064,1487956.07668,2
684,564281.16408,1487944.8906044445,2
685,564235.0272,1487938.022377778,2
686,564144.22128,1487922.4235555558,2
687,564100.646448,1487905.3419555556,2
688,564057.765504,1487884.2272,2
689,564015.5784479999,1487859.079288889,2
690,563974.08528,1487829.8982222225,2
691,563891.85288,1487765.130488889,2
692,563849.779248,1487737.6575822223,2
693,563807.0651039999,1487714.2652800002,2
694,563763.710448,1487694.953582222,2
695,563719.71528,1487679.722488889,2
696,563640.6687599999,1487681.7094111112,2
697,563606.111136,1487691.5491244446,2
698,563571.4067279999,1487698.09114,2
699,563536.5555359999,1487701.3354577778,2
700,563501.55756,1487701.282077778,2
701,563415.83904,1487713.559477778,2
702,563366.079264,1487733.790497778,2
703,563317.133472,1487758.62406,2
704,563269.0016640001,1487788.0601644444,2
705,563221.6838400001,1487822.0988111112,2
706,563131.16148,1487861.214488889,2
707,563087.4365279999,1487857.584648889,2
708,563044.0051439999,1487849.85048,2
709,563000.8673279999,1487838.0119822226,2
710,562958.02308,1487822.0691555555,2
711,562880.8447199999,1487774.7982000003,2
712,562845.656592,1487750.9907200001,2
713,562809.908016,1487730.59956,2
714,562773.598992,1487713.6247200002,2
715,562736.72952,1487700.0662,2
716,562657.5662400001,1487683.5184000002,2
717,562616.3132640001,1487673.2694400002,2
718,562575.540672,1487659.17712,2
719,562535.2484640001,1487641.24144,2
720,562495.4366400001,1487619.4623999998,2
721,562404.8308800001,1487557.6898777776,2
722,562352.8493280002,1487526.569337778,2
723,562300.1605440001,1487500.47838,2
724,562246.764528,1487479.4170044444,2
725,562192.6612800001,1487463.385211111,2
726,563874.2991816,1487839.5339053334,2
727,563814.4615497601,1487876.5888778667,2
728,563753.77310448,1487907.8489176,2
729,563692.23384576,1487933.3140245331,2
730,563629.8437736001,1487952.9841986664,2
731,563549.2126536,1487955.149054222,2
732,563531.5987737601,1487945.140660089,2
733,563513.7612484801,1487936.8342576,2
734,563495.70007776,1487930.2298467555,2
735,563477.4152616,1487925.3274275556,2
736,564158.2158000001,1483192.9852111111,2
737,564210.20736,1483246.0271377778,2
738,564260.39748,1483303.74278,2
739,564308.7861600001,1483366.1321377777,2
740,564355.3734,1483433.195211111,2
741,564405.6302400001,1483561.0106555556,2
742,564412.7159040001,1483616.1877822224,2
743,564421.416192,1483670.46338,2
744,564431.731104,1483723.837448889,2
